M|efConstruction|efSearch|recall@1|build_time|search_time|memory_usage
4.0|32.0|8.0|448.0|166437.0|20902.0|561329742.0
4.0|32.0|16.0|448.0|166437.0|14398.0|561329742.0
4.0|32.0|32.0|448.0|166437.0|16954.0|561329742.0
8.0|2.0|2.0|687.0|297947.0|40892.0|592566706.0
8.0|2.0|4.0|687.0|297947.0|41240.0|592566706.0
8.0|2.0|8.0|687.0|297947.0|46082.0|592566706.0
8.0|2.0|16.0|687.0|297947.0|54854.0|592566706.0
8.0|2.0|32.0|687.0|297947.0|51083.0|592566706.0
8.0|4.0|2.0|690.0|129559.0|23196.0|592566706.0
8.0|4.0|4.0|690.0|129559.0|31011.0|592566706.0
8.0|4.0|8.0|690.0|129559.0|20944.0|592566706.0
8.0|4.0|16.0|690.0|129559.0|29835.0|592566706.0
8.0|4.0|32.0|690.0|129559.0|27925.0|592566706.0
8.0|8.0|2.0|681.0|559501.0|30660.0|592566706.0
8.0|8.0|4.0|681.0|559501.0|22941.0|592566706.0
8.0|8.0|8.0|681.0|559501.0|23936.0|592566706.0
8.0|8.0|16.0|681.0|559501.0|22316.0|592566706.0
8.0|8.0|32.0|681.0|559501.0|30802.0|592566706.0
8.0|16.0|2.0|678.0|259496.0|26926.0|592566706.0
8.0|16.0|4.0|678.0|259496.0|24933.0|592566706.0
8.0|16.0|8.0|678.0|259496.0|27323.0|592566706.0
8.0|16.0|16.0|678.0|259496.0|31914.0|592566706.0
8.0|16.0|32.0|678.0|259496.0|18942.0|592566706.0
8.0|32.0|2.0|693.0|478351.0|19944.0|592566706.0
8.0|32.0|4.0|693.0|478351.0|18949.0|592566706.0
8.0|32.0|8.0|693.0|478351.0|30499.0|592566706.0
8.0|32.0|16.0|693.0|478351.0|19699.0|592566706.0
8.0|32.0|32.0|693.0|478351.0|19948.0|592566706.0
16.0|2.0|2.0|793.0|503438.0|65802.0|656258362.0
16.0|2.0|4.0|793.0|503438.0|94746.0|656258362.0
16.0|2.0|8.0|793.0|503438.0|67818.0|656258362.0
16.0|2.0|16.0|793.0|503438.0|58843.0|656258362.0
16.0|2.0|32.0|793.0|503438.0|52009.0|656258362.0
16.0|4.0|2.0|780.0|151004.0|26438.0|656258362.0
16.0|4.0|4.0|780.0|151004.0|37898.0|656258362.0
16.0|4.0|8.0|780.0|151004.0|43883.0|656258362.0
16.0|4.0|16.0|780.0|151004.0|38897.0|656258362.0
16.0|4.0|32.0|780.0|151004.0|42883.0|656258362.0
16.0|8.0|2.0|777.0|907869.0|23312.0|656258362.0
16.0|8.0|4.0|777.0|907869.0|24932.0|656258362.0
16.0|8.0|8.0|777.0|907869.0|59839.0|656258362.0
16.0|8.0|16.0|777.0|907869.0|30917.0|656258362.0
16.0|8.0|32.0|777.0|907869.0|44879.0|656258362.0
16.0|16.0|2.0|776.0|735804.0|54854.0|656258362.0
16.0|16.0|4.0|776.0|735804.0|61834.0|656258362.0
16.0|16.0|8.0|776.0|735804.0|65824.0|656258362.0
16.0|16.0|16.0|776.0|735804.0|56191.0|656258362.0
16.0|16.0|32.0|776.0|735804.0|59832.0|656258362.0
16.0|32.0|2.0|776.0|262570.0|93345.0|656258362.0
16.0|32.0|4.0|776.0|262570.0|74800.0|656258362.0
16.0|32.0|8.0|776.0|262570.0|48534.0|656258362.0
16.0|32.0|16.0|776.0|262570.0|52181.0|656258362.0
16.0|32.0|32.0|776.0|262570.0|72905.0|656258362.0
32.0|2.0|2.0|908.0|812472.0|68816.0|784129506.0
32.0|2.0|4.0|908.0|812472.0|81814.0|784129506.0
32.0|2.0|8.0|908.0|812472.0|81781.0|784129506.0
32.0|2.0|16.0|908.0|812472.0|74799.0|784129506.0
32.0|2.0|32.0|908.0|812472.0|96740.0|784129506.0
32.0|4.0|2.0|904.0|464299.0|89039.0|784129506.0
32.0|4.0|4.0|904.0|464299.0|57366.0|784129506.0
32.0|4.0|8.0|904.0|464299.0|46545.0|784129506.0
32.0|4.0|16.0|904.0|464299.0|54853.0|784129506.0
32.0|4.0|32.0|904.0|464299.0|60837.0|784129506.0
32.0|8.0|2.0|907.0|873451.0|65383.0|784129506.0
32.0|8.0|4.0|907.0|873451.0|75982.0|784129506.0
32.0|8.0|8.0|907.0|873451.0|72861.0|784129506.0
32.0|8.0|16.0|907.0|873451.0|53857.0|784129506.0
32.0|8.0|32.0|907.0|873451.0|56851.0|784129506.0
32.0|16.0|2.0|899.0|531979.0|53466.0|784129506.0
32.0|16.0|4.0|899.0|531979.0|64828.0|784129506.0
32.0|16.0|8.0|899.0|531979.0|54246.0|784129506.0
32.0|16.0|16.0|899.0|531979.0|52861.0|784129506.0
32.0|16.0|32.0|899.0|531979.0|54852.0|784129506.0
32.0|32.0|2.0|899.0|361151.0|55886.0|784129506.0
32.0|32.0|4.0|899.0|361151.0|54852.0|784129506.0
32.0|32.0|8.0|899.0|361151.0|85771.0|784129506.0
32.0|32.0|16.0|899.0|361151.0|73060.0|784129506.0
32.0|32.0|32.0|899.0|361151.0|59901.0|784129506.0
64.0|2.0|2.0|938.0|475352.0|68118.0|1040062422.0
64.0|2.0|4.0|938.0|475352.0|49866.0|1040062422.0
64.0|2.0|8.0|938.0|475352.0|52368.0|1040062422.0
64.0|2.0|16.0|938.0|475352.0|86767.0|1040062422.0
64.0|2.0|32.0|938.0|475352.0|53942.0|1040062422.0
64.0|4.0|2.0|936.0|684508.0|63823.0|1040062422.0
64.0|4.0|4.0|936.0|684508.0|85283.0|1040062422.0
64.0|4.0|8.0|936.0|684508.0|79164.0|1040062422.0
64.0|4.0|16.0|936.0|684508.0|73252.0|1040062422.0
64.0|4.0|32.0|936.0|684508.0|70811.0|1040062422.0
64.0|8.0|2.0|937.0|514201.0|55851.0|1040062422.0
64.0|8.0|4.0|937.0|514201.0|80296.0|1040062422.0
64.0|8.0|8.0|937.0|514201.0|102727.0|1040062422.0
64.0|8.0|16.0|937.0|514201.0|98736.0|1040062422.0
64.0|8.0|32.0|937.0|514201.0|100731.0|1040062422.0
64.0|16.0|2.0|935.0|522862.0|51831.0|1040062422.0
64.0|16.0|4.0|935.0|522862.0|55368.0|1040062422.0
64.0|16.0|8.0|935.0|522862.0|56897.0|1040062422.0
64.0|16.0|16.0|935.0|522862.0|56848.0|1040062422.0
64.0|16.0|32.0|935.0|522862.0|54769.0|1040062422.0
64.0|32.0|2.0|934.0|91752.0|55363.0|1040062422.0
64.0|32.0|4.0|934.0|91752.0|55850.0|1040062422.0
64.0|32.0|8.0|934.0|91752.0|58842.0|1040062422.0
64.0|32.0|16.0|934.0|91752.0|63343.0|1040062422.0
64.0|32.0|32.0|934.0|91752.0|56848.0|1040062422.0
128.0|2.0|2.0|947.0|31640.0|73802.0|1552018390.0
128.0|2.0|4.0|947.0|31640.0|75797.0|1552018390.0
128.0|2.0|8.0|947.0|31640.0|81781.0|1552018390.0
128.0|2.0|16.0|947.0|31640.0|72805.0|1552018390.0
128.0|2.0|32.0|947.0|31640.0|73305.0|1552018390.0
128.0|4.0|2.0|938.0|52518.0|67817.0|1552018390.0
128.0|4.0|4.0|938.0|52518.0|88764.0|1552018390.0
128.0|4.0|8.0|938.0|52518.0|69814.0|1552018390.0
128.0|4.0|16.0|938.0|52518.0|71809.0|1552018390.0
128.0|4.0|32.0|938.0|52518.0|67819.0|1552018390.0
128.0|8.0|2.0|946.0|978581.0|143423.0|1552018390.0
128.0|8.0|4.0|946.0|978581.0|179266.0|1552018390.0
128.0|8.0|8.0|946.0|978581.0|145977.0|1552018390.0
128.0|8.0|16.0|946.0|978581.0|144090.0|1552018390.0
128.0|8.0|32.0|946.0|978581.0|154586.0|1552018390.0
128.0|16.0|2.0|943.0|519120.0|85769.0|1552018390.0
128.0|16.0|4.0|943.0|519120.0|77792.0|1552018390.0
128.0|16.0|8.0|943.0|519120.0|75797.0|1552018390.0
128.0|16.0|16.0|943.0|519120.0|73803.0|1552018390.0
128.0|16.0|32.0|943.0|519120.0|76978.0|1552018390.0
128.0|32.0|2.0|946.0|620867.0|82779.0|1552018390.0
128.0|32.0|4.0|946.0|620867.0|87769.0|1552018390.0
128.0|32.0|8.0|946.0|620867.0|93748.0|1552018390.0
128.0|32.0|16.0|946.0|620867.0|96741.0|1552018390.0
128.0|32.0|32.0|946.0|620867.0|104720.0|1552018390.0
2.0|2.0|2.0|154.0|218839.0|9989.0|547995894.0
2.0|2.0|4.0|154.0|218839.0|9974.0|547995894.0
2.0|2.0|8.0|154.0|218839.0|6090.0|547995894.0
